id,code,title,categoryId,roomGroup,roomSection,roomName,typeGroup,typeSection,baselineSpec,baselineBudgetExVat,quantity,unit,decisionStage,priority,description,architectNote,status,selectedName,selectedSource,selectedSourceUrl,selectedCostExVat,selectedNotes,createdAt,updatedAt
guest-bedroom-2-ensuite-tapware,GUEST-BEDROOM-2-ENSUITE-TAPWARE,Tapware and brassware,bathrooms,Guest bedroom 2 ensuite,Fixtures & fittings,Guest bedroom 2 ensuite,Bathrooms & sanitaryware,Tapware,Controlled mid-range basin tap / small brassware allowance.,500.00,,,now,medium,"Keep finish and brand discipline here, because brassware escalation is one of the easiest budget leaks in the project.",,open,,,,,,2026-04-04 19:48:36.945831+00,2026-04-04 19:48:36.945831+00
guest-bedroom-2-ensuite-shower,GUEST-BEDROOM-2-ENSUITE-SHOWER,Shower set,bathrooms,Guest bedroom 2 ensuite,Fixtures & fittings,Guest bedroom 2 ensuite,Bathrooms & sanitaryware,Shower fittings,Concealed thermostatic shower set within the control budget.,2200.00,,,now,medium,"Includes valve, head, and handset allowance at a sensible quality level.",,open,,,,,,2026-04-04 19:48:36.945831+00,2026-04-04 19:48:36.945831+00
guest-bedroom-2-ensuite-mirror-and-storage,GUEST-BEDROOM-2-ENSUITE-MIRROR-AND-STORAGE,Mirror and storage,bathrooms,Guest bedroom 2 ensuite,Fixtures & fittings,Guest bedroom 2 ensuite,Bathrooms & sanitaryware,Mirrors & storage,Mirror or mirrored storage cabinet within the control budget.,500.00,,,later,medium,Use this to control whether the room stays simple or becomes more furniture-led.,,open,,,,,,2026-04-04 19:48:36.945831+00,2026-04-04 19:48:36.945831+00
guest-bedroom-2-ensuite-accessories,GUEST-BEDROOM-2-ENSUITE-ACCESSORIES,Accessories and towel rail,bathrooms,Guest bedroom 2 ensuite,Accessories,Guest bedroom 2 ensuite,Bathrooms & sanitaryware,Accessories & rails,"Controlled accessories package including robe hook, paper holder, and small fittings.",700.00,,,later,medium,These small items add up. Keep them visible in the budget instead of allowing them to arrive as late extras.,,open,,,,,,2026-04-04 19:48:36.945831+00,2026-04-04 19:48:36.945831+00
guest-bedroom-2-ensuite-electrical-ventilation,GUEST-BEDROOM-2-ENSUITE-ELECTRICAL-VENTILATION,"Electrical, extract, and lighting layout",mech_elec,Guest bedroom 2 ensuite,Electrical & ventilation,Guest bedroom 2 ensuite,"Electrical, lighting & data",Bathroom lighting & ventilation,"Allow mirror feed, extract, towel rail connection, and approximately 2 lighting points within the main electrical budget.",0.00,,,now,medium,Planning item only. Cost is already carried inside the main electrical and ventilation packages.,"Coordinate mirror positions, shaver points, extract, and any niche lighting before first-fix.",open,,,,,,2026-04-04 19:48:36.945831+00,2026-04-04 19:48:36.945831+00
powder-room-tiling-and-walls,POWDER-ROOM-TILING-AND-WALLS,Tiling and wet-area wall finish,bathrooms,Powder room,Finishes,Powder room,"Floors, walls & decorating",Bathroom finishes,Porcelain tile finish to wet areas with paint-grade non-wet walls unless upgraded.,1200.00,,,now,medium,Use this allowance to control tile format and extent. It should not quietly turn into full-height premium stone everywhere.,,open,,,,,,2026-04-04 17:52:27.320695+00,2026-04-04 17:52:27.320695+00
powder-room-wc,POWDER-ROOM-WC,WC,bathrooms,Powder room,Fixtures & fittings,Powder room,Bathrooms & sanitaryware,Sanitaryware,Good-quality WC within the control budget.,800.00,,,now,medium,Carry a realistic mid-range WC allowance rather than a premium designer product.,,open,,,,,,2026-04-04 17:52:27.320695+00,2026-04-04 17:52:27.320695+00
powder-room-basin,POWDER-ROOM-BASIN,Basin and vanity,bathrooms,Powder room,Fixtures & fittings,Powder room,Bathrooms & sanitaryware,Sanitaryware,Basin or compact vanity within the control budget.,1200.00,,,now,medium,Use this to hold the basin and any integrated vanity component together.,,open,,,,,,2026-04-04 17:52:27.320695+00,2026-04-04 17:52:27.320695+00
powder-room-tapware,POWDER-ROOM-TAPWARE,Tapware and brassware,bathrooms,Powder room,Fixtures & fittings,Powder room,Bathrooms & sanitaryware,Tapware,Controlled mid-range basin tap / small brassware allowance.,300.00,,,now,medium,"Keep finish and brand discipline here, because brassware escalation is one of the easiest budget leaks in the project.",,open,,,,,,2026-04-04 17:52:27.320695+00,2026-04-04 17:52:27.320695+00
powder-room-mirror-and-storage,POWDER-ROOM-MIRROR-AND-STORAGE,Mirror and storage,bathrooms,Powder room,Fixtures & fittings,Powder room,Bathrooms & sanitaryware,Mirrors & storage,Mirror or mirrored storage cabinet within the control budget.,200.00,,,later,medium,Use this to control whether the room stays simple or becomes more furniture-led.,,open,,,,,,2026-04-04 17:52:27.320695+00,2026-04-04 17:52:27.320695+00
powder-room-accessories,POWDER-ROOM-ACCESSORIES,Accessories and towel rail,bathrooms,Powder room,Accessories,Powder room,Bathrooms & sanitaryware,Accessories & rails,"Controlled accessories package including robe hook, paper holder, and small fittings.",250.00,,,later,medium,These small items add up. Keep them visible in the budget instead of allowing them to arrive as late extras.,,open,,,,,,2026-04-04 17:52:27.320695+00,2026-04-04 17:52:27.320695+00
powder-room-electrical-ventilation,POWDER-ROOM-ELECTRICAL-VENTILATION,"Electrical, extract, and lighting layout",mech_elec,Powder room,Electrical & ventilation,Powder room,"Electrical, lighting & data",Bathroom lighting & ventilation,"Allow extractor, mirror light or mirrored cabinet feed, and approximately 2 lighting points within the main electrical budget.",0.00,,,now,medium,Planning item only. Cost is already carried inside the main electrical and ventilation packages.,"Coordinate mirror positions, shaver points, extract, and any niche lighting before first-fix.",open,,,,,,2026-04-04 17:52:27.320695+00,2026-04-04 17:52:27.320695+00
garage-floor-finish,GARAGE-FLOOR-FINISH,Garage floor finish,finishes,Garage,Finishes,Garage,"Floors, walls & decorating",Garage finishes,Basic power-floated concrete garage floor within the control budget.,1500.00,,,now,medium,This is intentionally not a premium polished or resin system in the baseline budget.,,open,,,,,,2026-04-04 17:52:27.320695+00,2026-04-04 17:52:27.320695+00
garage-wall-finish,GARAGE-WALL-FINISH,Garage wall finish,finishes,Garage,Finishes,Garage,"Floors, walls & decorating",Garage finishes,Basic plastered / serviceable garage wall finish only.,0.00,,,now,medium,Planning item only.,,open,,,,,,2026-04-04 17:52:27.320695+00,2026-04-04 17:52:27.320695+00
garage-storage-and-workbench,GARAGE-STORAGE-AND-WORKBENCH,Garage storage and workbench,joinery,Garage,Joinery & storage,Garage,"Joinery, doors & stairs",Garage storage,No major bespoke garage fit-out is assumed in the baseline budget.,0.00,,,now,medium,Keep workshop ambitions separate from the main build if budget is tight.,,open,,,,,,2026-04-04 17:52:27.320695+00,2026-04-04 17:52:27.320695+00
garage-power-layout,GARAGE-POWER-LAYOUT,Garage power layout,mech_elec,Garage,Electrical & lighting,Garage,"Electrical, lighting & data",Garage power,"Allow 6 twin sockets, EV charger provision, and garage door power within the main electrical budget.",0.00,,,now,medium,Planning item only.,,open,,,,,,2026-04-04 17:52:27.320695+00,2026-04-04 17:52:27.320695+00
garage-lighting-layout,GARAGE-LIGHTING-LAYOUT,Garage lighting layout,mech_elec,Garage,Electrical & lighting,Garage,"Electrical, lighting & data",Garage lighting,Allow approximately 6 practical garage lighting points within the main electrical budget.,0.00,,,now,medium,Planning item only.,,open,,,,,,2026-04-04 17:52:27.320695+00,2026-04-04 17:52:27.320695+00
ev-charger,EV-CHARGER,EV charger,utilities,Garage,Electrical & lighting,Garage,"Electrical, lighting & data",Garage power,Single EV charger and wiring within the control budget.,1500.00,,,now,medium,Budget-bearing EV item already in the project assumptions.,,open,,,,,,2026-04-04 17:52:27.320695+00,2026-04-04 17:52:27.320695+00
courtyard-threshold-drainage,COURTYARD-THRESHOLD-DRAINAGE,Courtyard threshold drainage,groundworks,Courtyard / external interface,Drainage & thresholds,Courtyard / external interface,External works & courtyard,Thresholds,Simple robust drainage and threshold handling to the courtyard edges.,0.00,,,now,medium,Planning item only. Cost is already within the groundworks drainage package.,"Resolve this with slider thresholds and floor levels, not as a late technical patch.",open,,,,,,2026-04-04 17:52:27.320695+00,2026-04-04 17:52:27.320695+00
courtyard-external-lighting,COURTYARD-EXTERNAL-LIGHTING,Courtyard external lighting,mech_elec,Courtyard / external interface,Lighting & services,Courtyard / external interface,"Electrical, lighting & data",External lighting,Restrained practical courtyard lighting within the main external electrical budget.,0.00,,,now,medium,Planning item only.,,open,,,,,,2026-04-04 17:52:27.320695+00,2026-04-04 17:52:27.320695+00
courtyard-external-power-and-tap,COURTYARD-EXTERNAL-POWER-AND-TAP,Courtyard external power and water point,utilities,Courtyard / external interface,Lighting & services,Courtyard / external interface,External works & courtyard,External utilities,Single external tap and practical external power point provision only.,0.00,,,now,medium,Planning item only. Cost is already assumed inside the wider utilities and external electrical allowances.,,open,,,,,,2026-04-04 17:52:27.320695+00,2026-04-04 17:52:27.320695+00
courtyard-finish-placeholder,COURTYARD-FINISH-PLACEHOLDER,Courtyard finish placeholder,courtyard_finish_longterm,Courtyard / external interface,Long-term items,Courtyard / external interface,External works & courtyard,Courtyard fit-out,No active courtyard fit-out budget in this phase beyond essential building interfaces.,0.00,,,later,medium,This remains outside the active build budget unless you consciously bring it forward.,,open,,,,,,2026-04-04 17:52:27.320695+00,2026-04-04 17:52:27.320695+00
entrance-gate-and-access-automation,ENTRANCE_GATE_AND_ACCESS_AUTOMATION,Entrance gate and access automation,landscaping,Courtyard / external interface,Long-term items,Courtyard / external interface,External works & courtyard,Access & boundaries,No entrance gate or gate automation is included in the active construction budget.,0.00,,,later,medium,Track this here if you decide to bring the entrance gate into the project scope later.,,open,,,,,,2026-04-04 19:41:00.235721+00,2026-04-04 19:41:00.235721+00
driveway-and-approach-finish,DRIVEWAY_AND_APPROACH_FINISH,Driveway and approach finish,landscaping,Courtyard / external interface,Long-term items,Courtyard / external interface,External works & courtyard,Access & boundaries,No full driveway package is included in the active construction budget beyond immediate functional access.,0.00,,,later,medium,Long-term external works placeholder for a no-dig driveway or upgraded approach finish.,,open,,,,,,2026-04-04 19:41:00.235721+00,2026-04-04 19:41:00.235721+00
fencing-and-planting-package,FENCING_AND_PLANTING_PACKAGE,Fencing and planting package,landscaping,Courtyard / external interface,Long-term items,Courtyard / external interface,External works & courtyard,Access & boundaries,"Boundary fencing, planting, and soft landscaping remain outside the active build budget.",0.00,,,later,medium,Long-term external works placeholder for boundary treatment and planting once the core build is complete.,,open,,,,,,2026-04-04 19:41:00.235721+00,2026-04-04 19:41:00.235721+00
